location,total_sqft,bath,balcony,price,bedrooms,bed_per_bath,sqft_per_bath
Banaswadi,1222.0,2.0,2.0,80.0,2,1.0,611.0
Gottigere,1500.0,3.0,2.0,63.0,3,1.0,500.0
Akshaya Nagar,1890.0,4.0,2.0,100.0,3,0.75,472.5
Hegde Nagar,3750.0,6.0,2.0,375.0,4,0.6666666666666666,625.0
Hulimavu,850.0,1.0,1.0,39.5,2,2.0,850.0
Whitefield,1295.0,2.0,3.0,78.5,2,1.0,647.5
Sarjapur  Road,1320.0,2.0,1.0,100.0,2,1.0,660.0
other,3000.0,3.0,3.0,170.0,4,1.3333333333333333,1000.0
Harlur,1197.0,2.0,1.0,82.0,2,1.0,598.5
other,1320.0,2.0,3.0,60.0,3,1.5,660.0
Whitefield,840.0,1.0,1.0,57.6,1,1.0,840.0
Whitefield,640.0,1.0,0.0,19.83,1,1.0,640.0
Raja Rajeshwari Nagar,1693.0,3.0,1.0,71.38,3,1.0,564.3333333333334
other,1000.0,2.0,1.0,62.0,2,1.0,500.0
Babusapalaya,1305.0,2.0,1.0,70.0,2,1.0,652.5
Kodichikkanahalli,450.0,1.0,1.0,18.0,1,1.0,450.0
CV Raman Nagar,705.0,1.0,1.0,57.0,1,1.0,705.0
Whitefield,1991.0,3.0,2.0,104.0,3,1.0,663.6666666666666
Battarahalli,1779.0,3.0,2.0,90.0,3,1.0,593.0
Banaswadi,870.0,2.0,2.0,38.0,2,1.0,435.0
Thanisandra,1595.0,3.0,2.0,120.0,3,1.0,531.6666666666666
Kanakpura Road,525.0,1.0,1.0,26.0,1,1.0,525.0
Iblur Village,2000.0,4.0,2.0,138.0,3,0.75,500.0
Yelahanka,1614.0,3.0,2.0,93.0,3,1.0,538.0
Gottigere,1200.0,2.0,3.0,40.0,2,1.0,600.0
Electronic City Phase II,1150.0,3.0,3.0,46.0,3,1.0,383.3333333333333
Sonnenahalli,1610.0,3.0,2.0,80.48,3,1.0,536.6666666666666
Whitefield,1190.0,2.0,2.0,41.0,2,1.0,595.0
other,1050.0,2.0,2.0,50.0,2,1.0,525.0
7th Phase JP Nagar,1460.0,2.0,1.0,97.0,3,1.5,730.0
other,600.0,1.0,0.0,33.0,1,1.0,600.0
other,1569.0,3.0,0.0,70.0,3,1.0,523.0
other,2600.0,3.0,2.0,147.0,3,1.0,866.6666666666666
Electronics City Phase 1,645.0,1.0,0.0,42.5,1,1.0,645.0
other,800.0,2.0,1.0,80.0,2,1.0,400.0
Marathahalli,1350.0,2.0,1.0,90.0,2,1.0,675.0
other,1410.0,2.0,2.0,45.12,3,1.5,705.0
Whitefield,1109.0,2.0,1.0,35.47,2,1.0,554.5
other,800.0,1.0,0.0,72.0,1,1.0,800.0
Bannerghatta Road,1215.0,2.0,1.0,68.0,2,1.0,607.5
other,2273.0,4.0,2.0,192.0,3,0.75,568.25
Varthur Road,1255.0,2.0,2.0,52.76,2,1.0,627.5
other,1020.0,2.0,1.0,49.0,2,1.0,510.0
other,1225.0,2.0,2.0,82.0,3,1.5,612.5
Singasandra,1120.0,2.0,1.0,60.0,2,1.0,560.0
Kasavanhalli,1225.0,2.0,1.0,69.0,3,1.5,612.5
Sarjapur  Road,1984.0,4.0,1.0,145.0,3,0.75,496.0
Old Madras Road,2425.0,3.0,1.0,197.0,3,1.0,808.3333333333334
ITPL,1200.0,3.0,1.0,56.12,3,1.0,400.0
Bommasandra,1127.0,2.0,1.0,45.0,2,1.0,563.5
Whitefield,1655.0,3.0,2.0,97.0,3,1.0,551.6666666666666
Ananth Nagar,500.0,1.0,1.0,14.0,1,1.0,500.0
Varthur,1200.0,3.0,1.0,68.38,3,1.0,400.0
Kaggadasapura,1000.0,2.0,2.0,43.0,2,1.0,500.0
CV Raman Nagar,1225.0,2.0,2.0,47.88,2,1.0,612.5
Hormavu,1350.0,2.0,2.0,45.0,2,1.0,675.0
Sahakara Nagar,1175.0,2.0,3.0,49.0,2,1.0,587.5
other,655.0,1.0,2.0,27.0,1,1.0,655.0
Hosa Road,1311.0,2.0,1.0,84.86,3,1.5,655.5
CV Raman Nagar,1000.0,2.0,1.0,38.5,2,1.0,500.0
other,1196.0,2.0,1.0,96.0,2,1.0,598.0
Kanakpura Road,1050.0,2.0,1.0,59.0,3,1.5,525.0
Somasundara Palya,1275.0,2.0,2.0,52.0,3,1.5,637.5
other,927.0,2.0,1.0,50.0,2,1.0,463.5
Varthur,1520.0,2.0,3.0,61.0,3,1.5,760.0
Hebbal,1333.0,2.0,1.0,104.0,2,1.0,666.5
other,600.0,1.0,0.0,18.0,1,1.0,600.0
Abbigere,1326.0,2.0,1.0,34.8,3,1.5,663.0
Koramangala,1370.0,2.0,2.0,125.0,2,1.0,685.0
Koramangala,1100.0,2.0,2.0,85.0,2,1.0,550.0
Haralur Road,1650.0,3.0,3.0,100.0,3,1.0,550.0
Kasavanhalli,1917.0,3.0,2.0,132.0,3,1.0,639.0
Billekahalli,950.0,2.0,1.0,58.11,2,1.0,475.0
other,1175.0,2.0,1.0,48.72,2,1.0,587.5
8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2,1.0,544.5
Kalena Agrahara,1804.0,3.0,2.0,175.0,3,1.0,601.3333333333334
Hoodi,1257.0,2.0,1.0,68.5,2,1.0,628.5
Sarjapur,650.0,1.0,2.0,19.87,1,1.0,650.0
Whitefield,1850.0,3.0,2.0,150.0,3,1.0,616.6666666666666
other,2800.0,4.0,1.0,200.0,4,1.0,700.0
Koramangala,1161.0,2.0,1.0,63.85,2,1.0,580.5
Banashankari Stage V,1630.0,3.0,2.0,51.35,3,1.0,543.3333333333334
Jalahalli,1310.0,2.0,2.0,60.0,3,1.5,655.0
other,750.0,2.0,1.0,28.0,2,1.0,375.0
Whitefield,1200.0,3.0,1.0,67.77,3,1.0,400.0
other,1000.0,2.0,1.0,45.0,2,1.0,500.0
Old Madras Road,4000.0,4.0,2.0,225.0,4,1.0,1000.0
Nagavara,1315.0,2.0,2.0,70.0,2,1.0,657.5
Sahakara Nagar,1370.0,2.0,2.0,90.0,3,1.5,685.0
Bellandur,1465.0,3.0,3.0,90.0,2,0.6666666666666666,488.3333333333333
Electronic City,1128.0,2.0,1.0,64.0,2,1.0,564.0
Padmanabhanagar,1250.0,2.0,2.0,70.0,3,1.5,625.0
Hebbal,1645.0,3.0,2.0,117.0,3,1.0,548.3333333333334
Horamavu Agara,1284.0,2.0,2.0,75.0,3,1.5,642.0
Hebbal,2600.0,3.0,2.0,199.0,3,1.0,866.6666666666666
other,1820.0,3.0,2.0,150.0,3,1.0,606.6666666666666
Haralur Road,1580.0,3.0,1.0,73.0,3,1.0,526.6666666666666
Akshaya Nagar,2650.0,3.0,2.0,125.0,3,1.0,883.3333333333334
Bannerghatta Road,1215.0,2.0,1.0,68.0,2,1.0,607.5
Uttarahalli,1075.0,2.0,1.0,40.0,2,1.0,537.5
R.T. Nagar,1400.0,2.0,3.0,78.0,3,1.5,700.0
Subramanyapura,1400.0,2.0,1.0,55.0,3,1.5,700.0
Bisuvanahalli,845.0,2.0,1.0,30.0,2,1.0,422.5
Hegde Nagar,2600.0,4.0,3.0,40.0,4,1.0,650.0
Panathur,1199.0,2.0,1.0,85.0,2,1.0,599.5
Gunjur,1175.0,2.0,2.0,43.48,2,1.0,587.5
Bellandur,1767.0,3.0,2.0,109.0,3,1.0,589.0
Sarjapur  Road,1800.0,3.0,1.0,90.0,4,1.3333333333333333,600.0
Talaghattapura,1856.0,3.0,2.0,135.0,3,1.0,618.6666666666666
Rajaji Nagar,1613.0,3.0,0.0,150.0,3,1.0,537.6666666666666
Whitefield,1290.0,2.0,0.0,90.0,2,1.0,645.0
Kasavanhalli,1375.0,2.0,1.0,78.0,2,1.0,687.5
other,985.0,2.0,2.0,57.0,2,1.0,492.5
Singasandra,1099.0,2.0,1.0,37.5,2,1.0,549.5
Electronic City,605.0,1.0,0.0,13.31,1,1.0,605.0
other,3600.0,7.0,3.0,160.0,7,1.0,514.2857142857143
Marathahalli,1200.0,2.0,1.0,53.0,2,1.0,600.0
Hulimavu,1000.0,2.0,1.0,45.0,2,1.0,500.0
Electronic City,1159.0,2.0,3.0,38.0,3,1.5,579.5
BTM Layout,1540.0,2.0,2.0,78.0,3,1.5,770.0
other,1503.0,2.0,2.0,93.0,3,1.5,751.5
Ambedkar Nagar,1850.0,4.0,2.0,120.0,3,0.75,462.5
Uttarahalli,1580.0,3.0,1.0,60.0,3,1.0,526.6666666666666
other,1190.0,2.0,2.0,39.25,2,1.0,595.0
other,1200.0,2.0,1.0,61.0,2,1.0,600.0
Jakkur,850.0,1.0,1.0,19.9,2,2.0,850.0
other,2500.0,2.0,1.0,60.0,3,1.5,1250.0
ITPL,1200.0,3.0,1.0,56.12,3,1.0,400.0
other,1500.0,2.0,2.0,52.0,3,1.5,750.0
Thanisandra,1880.0,3.0,3.0,120.0,3,1.0,626.6666666666666
Padmanabhanagar,1150.0,2.0,2.0,45.0,2,1.0,575.0
Bellandur,924.0,2.0,2.0,35.11,2,1.0,462.0
other,1962.0,3.0,2.0,175.0,3,1.0,654.0
other,1765.0,3.0,2.0,77.27,3,1.0,588.3333333333334
Attibele,1174.0,2.0,1.0,29.35,2,1.0,587.0
Bannerghatta Road,1894.0,3.0,1.0,115.0,3,1.0,631.3333333333334
other,1760.0,3.0,2.0,142.0,3,1.0,586.6666666666666
other,1768.0,3.0,3.0,95.0,3,1.0,589.3333333333334
Kothanur,1790.0,3.0,0.0,97.0,3,1.0,596.6666666666666
Whitefield,1200.0,2.0,1.0,45.0,2,1.0,600.0
Kengeri,2540.0,4.0,0.0,160.0,4,1.0,635.0
Mahadevpura,1137.0,2.0,1.0,53.4,2,1.0,568.5
Mysore Road,1568.0,2.0,2.0,100.0,3,1.5,784.0
AECS Layout,1308.0,2.0,1.0,60.0,2,1.0,654.0
Bisuvanahalli,1200.0,2.0,1.0,41.0,3,1.5,600.0
other,800.0,1.0,2.0,32.0,1,1.0,800.0
Electronic City,530.0,1.0,1.0,13.5,1,1.0,530.0
other,3000.0,6.0,3.0,145.0,7,1.1666666666666667,500.0
Subramanyapura,958.0,2.0,1.0,33.53,2,1.0,479.0
Thigalarapalya,2072.0,4.0,2.0,160.0,3,0.75,518.0
Talaghattapura,2273.0,3.0,3.0,159.0,3,1.0,757.6666666666666
Thanisandra,760.0,1.0,2.0,50.0,1,1.0,760.0
Dommasandra,1090.0,2.0,2.0,43.5,2,1.0,545.0
Thigalarapalya,2072.0,4.0,2.0,155.0,3,0.75,518.0
Bellandur,2666.0,3.0,1.0,230.0,3,1.0,888.6666666666666
Sarjapur  Road,1550.0,2.0,1.0,89.0,3,1.5,775.0
Ramagondanahalli,1251.0,2.0,1.0,50.0,2,1.0,625.5
Electronic City,1070.0,2.0,1.0,53.0,2,1.0,535.0
Kalena Agrahara,1200.0,2.0,2.0,45.0,2,1.0,600.0
CV Raman Nagar,1435.0,2.0,2.0,60.0,3,1.5,717.5
Bommasandra,1400.0,2.0,3.0,45.0,3,1.5,700.0
other,2330.0,3.0,2.0,94.71,4,1.3333333333333333,776.6666666666666
Thanisandra,1200.0,2.0,3.0,60.0,2,1.0,600.0
Panathur,1000.0,2.0,2.0,40.0,2,1.0,500.0
Bannerghatta Road,1655.0,2.0,2.0,62.89,3,1.5,827.5
Raja Rajeshwari Nagar,3600.0,9.0,3.0,240.0,9,1.0,400.0
other,600.0,1.0,1.0,35.0,1,1.0,600.0
Electronics City Phase 1,1175.0,2.0,1.0,50.0,2,1.0,587.5
Uttarahalli,1155.0,2.0,2.0,40.43,2,1.0,577.5
Magadi Road,1200.0,3.0,2.0,98.0,3,1.0,400.0
Budigere,1149.0,2.0,2.0,65.0,2,1.0,574.5
other,1010.0,2.0,2.0,55.0,2,1.0,505.0
Hegde Nagar,1718.0,3.0,2.0,119.0,3,1.0,572.6666666666666
other,650.0,1.0,1.0,20.0,2,2.0,650.0
Banashankari,1330.0,2.0,2.0,77.0,2,1.0,665.0
Hormavu,1200.0,2.0,2.0,68.0,2,1.0,600.0
Bannerghatta Road,1693.0,3.0,2.0,89.0,3,1.0,564.3333333333334
Thanisandra,1800.0,4.0,1.0,125.0,3,0.75,450.0
Margondanahalli,900.0,2.0,0.0,55.0,2,1.0,450.0
NGR Layout,1020.0,2.0,1.0,46.0,2,1.0,510.0
Amruthahalli,1700.0,3.0,2.0,77.0,3,1.0,566.6666666666666
Panathur,661.0,1.0,1.0,40.0,1,1.0,661.0
Bannerghatta Road,1280.0,2.0,2.0,60.16,2,1.0,640.0
Hosur Road,1170.0,2.0,1.0,48.0,2,1.0,585.0
Thanisandra,933.0,2.0,1.0,58.0,1,0.5,466.5
Sarjapur  Road,1150.0,2.0,0.0,44.0,2,1.0,575.0
Rajaji Nagar,1380.0,3.0,3.0,130.0,3,1.0,460.0
other,1050.0,2.0,1.0,64.8,2,1.0,525.0
other,1080.0,2.0,1.0,37.8,2,1.0,540.0
Harlur,1303.0,2.0,1.0,90.0,2,1.0,651.5
Raja Rajeshwari Nagar,1196.0,2.0,2.0,40.54,2,1.0,598.0
Nagarbhavi,2500.0,3.0,2.0,180.0,5,1.6666666666666667,833.3333333333334
Bommanahalli,1250.0,3.0,2.0,41.0,3,1.0,416.6666666666667
Akshaya Nagar,1419.0,2.0,3.0,87.0,3,1.5,709.5
Banashankari,1200.0,2.0,3.0,49.0,2,1.0,600.0
7th Phase JP Nagar,1120.0,2.0,2.0,65.0,2,1.0,560.0
Electronics City Phase 1,762.5,1.0,0.0,45.4,1,1.0,762.5
Electronics City Phase 1,1245.0,2.0,1.0,75.0,2,1.0,622.5
Channasandra,1093.0,2.0,1.0,34.0,2,1.0,546.5
Electronic City,1025.0,1.0,1.0,26.63,2,2.0,1025.0
Hebbal,1345.0,2.0,1.0,97.0,2,1.0,672.5
other,1500.0,2.0,1.0,45.0,2,1.0,750.0
Vijayanagar,1180.0,2.0,1.0,86.0,2,1.0,590.0
NGR Layout,1020.0,2.0,1.0,48.45,2,1.0,510.0
other,1800.0,3.0,3.0,85.0,3,1.0,600.0
other,2008.0,3.0,2.0,170.0,3,1.0,669.3333333333334
Kothannur,1240.0,2.0,2.0,39.85,3,1.5,620.0
CV Raman Nagar,1020.0,2.0,1.0,55.0,2,1.0,510.0
other,2095.0,3.0,2.0,142.0,3,1.0,698.3333333333334
Gunjur,1362.0,3.0,2.0,62.63,3,1.0,454.0
Yelahanka,694.0,1.0,0.0,30.84,1,1.0,694.0
Vittasandra,1404.0,2.0,2.0,70.0,2,1.0,702.0
Electronic City Phase II,1192.0,2.0,3.0,47.0,3,1.5,596.0
Vittasandra,1259.0,2.0,1.0,67.48,2,1.0,629.5
Kengeri,1000.0,2.0,2.0,34.0,2,1.0,500.0
Rachenahalli,985.0,2.0,1.0,49.97,2,1.0,492.5
Indira Nagar,850.0,1.0,2.0,60.0,1,1.0,850.0
Uttarahalli,1650.0,2.0,1.0,50.0,3,1.5,825.0
Sarjapur  Road,1900.0,4.0,1.0,180.0,3,0.75,475.0
Ambedkar Nagar,1367.0,2.0,2.0,86.0,2,1.0,683.5
Rajaji Nagar,1210.0,2.0,2.0,81.0,3,1.5,605.0
other,1190.0,2.0,1.0,48.6,2,1.0,595.0
Sarjapur,1175.0,2.0,2.0,42.0,2,1.0,587.5
Whitefield,1140.0,2.0,2.0,40.0,2,1.0,570.0
Hoskote,1095.0,2.0,2.0,33.6,2,1.0,547.5
Attibele,782.0,1.0,0.0,19.55,1,1.0,782.0
Gubbalala,1435.0,2.0,2.0,80.0,3,1.5,717.5
Choodasandra,725.0,2.0,2.0,36.0,2,1.0,362.5
other,1600.0,2.0,2.0,88.0,3,1.5,800.0
Hosakerehalli,3205.0,4.0,2.0,300.0,4,1.0,801.25
Haralur Road,1243.0,2.0,2.0,46.0,2,1.0,621.5
Kanakpura Road,1703.0,3.0,2.0,130.0,3,1.0,567.6666666666666
Padmanabhanagar,1350.0,3.0,1.0,71.55,3,1.0,450.0
Horamavu Agara,1145.0,2.0,1.0,41.21,2,1.0,572.5
Whitefield,1216.0,2.0,1.0,75.0,2,1.0,608.0
7th Phase JP Nagar,1100.0,3.0,1.0,60.0,2,0.6666666666666666,366.6666666666667
Sarjapur  Road,2425.0,5.0,1.0,201.0,4,0.8,485.0
Kothanur,2700.0,4.0,2.0,175.0,4,1.0,675.0
Raja Rajeshwari Nagar,1196.0,2.0,2.0,40.54,2,1.0,598.0
Kanakpura Road,1600.0,3.0,3.0,90.0,3,1.0,533.3333333333334
Banashankari Stage V,1510.0,3.0,3.0,47.57,3,1.0,503.3333333333333
Pai Layout,780.0,2.0,1.0,72.0,2,1.0,390.0
Haralur Road,1194.0,2.0,2.0,47.0,2,1.0,597.0
other,1250.0,2.0,2.0,110.0,2,1.0,625.0
Horamavu Agara,1250.0,4.0,1.0,100.0,4,1.0,312.5
other,620.0,2.0,0.0,48.0,1,0.5,310.0
Raja Rajeshwari Nagar,1630.0,3.0,2.0,60.65,3,1.0,543.3333333333334
Hennur Road,1020.0,2.0,0.0,45.0,2,1.0,510.0
Hosakerehalli,1410.0,2.0,2.0,53.58,3,1.5,705.0
Bhoganhalli,1181.7,2.0,1.0,100.0,2,1.0,590.85
Sarjapur  Road,1691.0,3.0,2.0,113.0,3,1.0,563.6666666666666
KR Puram,1200.0,4.0,0.0,83.0,4,1.0,300.0
Banaswadi,1200.0,2.0,3.0,60.0,2,1.0,600.0
Old Airport Road,1050.0,2.0,2.0,50.0,2,1.0,525.0
Kathriguppe,1300.0,3.0,2.0,77.99,3,1.0,433.3333333333333
Whitefield,1356.0,2.0,1.0,94.84,2,1.0,678.0
Whitefield,1338.0,2.0,1.0,103.0,2,1.0,669.0
other,500.0,1.0,1.0,20.0,1,1.0,500.0
other,1280.0,2.0,1.0,100.0,3,1.5,640.0
Raja Rajeshwari Nagar,1531.0,3.0,3.0,51.77,3,1.0,510.3333333333333
Anekal,620.0,1.0,1.0,23.5,2,2.0,620.0
8th Phase JP Nagar,1605.0,2.0,2.0,65.0,3,1.5,802.5
Thanisandra,1917.0,3.0,2.0,110.0,3,1.0,639.0
Sarjapur  Road,1400.0,3.0,2.0,55.0,3,1.0,466.6666666666667
Thubarahalli,2625.0,3.0,3.0,175.0,3,1.0,875.0
Sahakara Nagar,1100.0,2.0,1.0,55.0,2,1.0,550.0
Hennur Road,2041.0,3.0,3.0,128.0,3,1.0,680.3333333333334
Sarjapur  Road,2070.0,4.0,2.0,160.0,3,0.75,517.5
Hebbal,1110.0,3.0,3.0,59.0,3,1.0,370.0
other,1650.0,3.0,1.0,110.0,3,1.0,550.0
Ambedkar Nagar,3565.0,4.0,3.0,255.0,4,1.0,891.25
Varthur Road,1033.0,2.0,2.0,30.47,3,1.5,516.5
HSR Layout,1142.0,2.0,2.0,65.0,2,1.0,571.0
other,1500.0,2.0,2.0,75.0,3,1.5,750.0
Electronic City Phase II,1502.0,3.0,3.0,50.0,3,1.0,500.6666666666667
other,1176.0,2.0,1.0,45.0,3,1.5,588.0
Hosa Road,1063.0,2.0,1.0,32.8,2,1.0,531.5
other,1100.0,2.0,1.0,60.0,2,1.0,550.0
other,1044.0,2.0,2.0,85.0,2,1.0,522.0
6th Phase JP Nagar,1216.0,2.0,2.0,60.0,2,1.0,608.0
other,1425.0,3.0,2.0,55.0,3,1.0,475.0
Hosur Road,1345.0,2.0,2.0,108.0,2,1.0,672.5
Uttarahalli,1025.0,2.0,1.0,35.88,2,1.0,512.5
Kadubeesanahalli,1424.0,2.0,2.0,75.0,3,1.5,712.0
other,1285.0,2.0,2.0,45.0,2,1.0,642.5
Babusapalaya,1450.0,2.0,1.0,55.99,2,1.0,725.0
Raja Rajeshwari Nagar,1160.0,2.0,1.0,70.0,2,1.0,580.0
other,2000.0,2.0,2.0,95.0,3,1.5,1000.0
Uttarahalli,1125.0,2.0,1.0,47.65,2,1.0,562.5
Old Madras Road,3900.0,4.0,2.0,175.0,4,1.0,975.0
Raja Rajeshwari Nagar,1133.0,2.0,1.0,38.37,2,1.0,566.5
Arekere,1240.0,2.0,2.0,60.0,2,1.0,620.0
Devanahalli,1466.0,3.0,3.0,77.59,3,1.0,488.6666666666667
Ramagondanahalli,1610.0,2.0,2.0,115.0,3,1.5,805.0
Sarjapur  Road,1220.0,3.0,2.0,56.0,3,1.0,406.6666666666667
Kaggadasapura,1225.0,2.0,2.0,48.0,2,1.0,612.5
Akshaya Nagar,1300.0,2.0,1.0,54.0,2,1.0,650.0
Thanisandra,1996.0,4.0,1.0,123.0,3,0.75,499.0
other,1320.0,2.0,2.0,55.0,3,1.5,660.0
other,1835.0,3.0,3.0,175.0,3,1.0,611.6666666666666
Sarjapur  Road,1435.0,3.0,2.0,90.0,3,1.0,478.3333333333333
Rayasandra,1601.0,3.0,3.0,70.0,3,1.0,533.6666666666666
Kadubeesanahalli,1257.0,2.0,2.0,93.0,2,1.0,628.5
Iblur Village,3596.0,5.0,1.0,260.0,4,0.8,719.2
Kasavanhalli,1309.0,2.0,2.0,95.0,2,1.0,654.5
Yeshwanthpur,1362.0,2.0,0.0,100.0,2,1.0,681.0
Whitefield,1115.0,2.0,1.0,55.0,2,1.0,557.5
Whitefield,1870.0,3.0,2.0,90.0,3,1.0,623.3333333333334
other,1322.0,2.0,1.0,61.99,2,1.0,661.0
other,1450.0,2.0,1.0,65.0,3,1.5,725.0
Banashankari,1185.0,2.0,2.0,67.0,2,1.0,592.5
7th Phase JP Nagar,1790.0,3.0,3.0,120.0,3,1.0,596.6666666666666
Whitefield,3450.0,4.0,2.0,208.0,3,0.75,862.5
Rachenahalli,1050.0,2.0,2.0,52.5,2,1.0,525.0
Budigere,693.0,1.0,0.0,27.375,1,1.0,693.0
Devanahalli,775.0,1.0,0.0,39.0,1,1.0,775.0
Hoodi,1000.0,2.0,2.0,48.0,2,1.0,500.0
Thanisandra,1183.0,2.0,1.0,77.25,2,1.0,591.5
other,425.0,1.0,1.0,15.0,1,1.0,425.0
other,820.0,2.0,2.0,30.0,2,1.0,410.0
Hebbal,1200.0,2.0,2.0,52.0,2,1.0,600.0
Ramagondanahalli,1151.0,2.0,2.0,43.6,2,1.0,575.5
Hulimavu,1320.0,2.0,2.0,59.0,3,1.5,660.0
other,1450.0,3.0,2.0,68.0,3,1.0,483.3333333333333
Poorna Pragna Layout,1270.0,2.0,3.0,50.79,3,1.5,635.0
Hegde Nagar,1847.0,3.0,2.0,123.0,3,1.0,615.6666666666666
Devanahalli,1020.0,2.0,1.0,49.87,1,0.5,510.0
Begur Road,1160.0,2.0,2.0,44.0,2,1.0,580.0
Haralur Road,2805.0,4.0,3.0,154.0,4,1.0,701.25
Mysore Road,1360.0,3.0,0.0,47.6,3,1.0,453.3333333333333
Brookefield,1089.0,2.0,1.0,49.0,2,1.0,544.5
Yelahanka,1115.0,2.0,2.0,60.0,2,1.0,557.5
Kudlu Gate,1215.0,2.0,1.0,45.0,2,1.0,607.5
Sarjapur  Road,1194.0,2.0,1.0,51.0,2,1.0,597.0
Kannamangala,1536.0,3.0,1.0,104.0,3,1.0,512.0
Hennur,1255.0,2.0,2.0,55.5,2,1.0,627.5
Electronic City,1571.0,3.0,2.0,83.0,3,1.0,523.6666666666666
other,900.0,1.0,0.0,70.0,2,2.0,900.0
other,1517.0,2.0,2.0,125.0,2,1.0,758.5
Budigere,664.0,1.0,1.0,35.4,1,1.0,664.0
other,1230.0,2.0,1.0,58.0,2,1.0,615.0
Hegde Nagar,1340.0,2.0,2.0,72.0,2,1.0,670.0
Attibele,1175.0,2.0,1.0,29.38,2,1.0,587.5
Sarjapur,1240.0,2.0,2.0,43.1,2,1.0,620.0
Electronic City,1470.0,2.0,1.0,44.1,3,1.5,735.0
7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3,1.0,560.0
other,1000.0,2.0,2.0,35.0,2,1.0,500.0
Gunjur,1071.0,2.0,1.0,51.0,2,1.0,535.5
Frazer Town,3435.0,2.0,1.0,341.0,4,2.0,1717.5
Kalyan nagar,1190.0,2.0,1.0,60.0,2,1.0,595.0
Pattandur Agrahara,1550.0,2.0,3.0,80.0,3,1.5,775.0
Kanakpura Road,1283.0,2.0,2.0,63.22,2,1.0,641.5
Mallasandra,1325.0,2.0,2.0,73.0,2,1.0,662.5
Whitefield,1105.0,2.0,1.0,35.36,2,1.0,552.5
Banaswadi,1600.0,3.0,2.0,74.5,3,1.0,533.3333333333334
Hennur,1100.0,2.0,1.0,44.55,2,1.0,550.0
Talaghattapura,2099.0,3.0,3.0,147.0,3,1.0,699.6666666666666
Yelachenahalli,1365.0,2.0,1.0,72.0,3,1.5,682.5
Hebbal Kempapura,1485.0,3.0,3.0,132.0,2,0.6666666666666666,495.0
Hosur Road,1250.0,2.0,1.0,55.0,2,1.0,625.0
Chikkalasandra,1290.0,2.0,2.0,56.12,3,1.5,645.0
Bellandur,1170.0,2.0,1.0,46.79,2,1.0,585.0
Kanakpura Road,1328.0,2.0,3.0,91.06,2,1.0,664.0
Hennur Road,1232.0,2.0,1.0,87.0,2,1.0,616.0
1st Phase JP Nagar,1180.0,2.0,2.0,88.5,2,1.0,590.0
Electronic City,1350.0,3.0,2.0,66.0,3,1.0,450.0
other,2400.0,4.0,1.0,145.0,4,1.0,600.0
Electronic City Phase II,1020.0,2.0,2.0,32.0,2,1.0,510.0
Begur Road,1410.0,2.0,3.0,49.34,3,1.5,705.0
other,2159.0,3.0,2.0,120.0,3,1.0,719.6666666666666
TC Palaya,1200.0,2.0,0.0,66.0,3,1.5,600.0
Hennur,1255.0,2.0,1.0,57.5,2,1.0,627.5
Whitefield,1074.0,2.0,1.0,42.79,2,1.0,537.0
other,1200.0,3.0,2.0,72.0,3,1.0,400.0
Sarjapur,1170.0,2.0,2.0,35.41,3,1.5,585.0
Tumkur Road,728.5,1.0,0.0,31.315,1,1.0,728.5
other,1850.0,3.0,0.0,175.0,6,2.0,616.6666666666666
other,510.0,1.0,0.0,34.0,1,1.0,510.0
Mahadevpura,1601.0,3.0,2.0,95.0,3,1.0,533.6666666666666
Begur Road,952.0,2.0,1.0,42.0,2,1.0,476.0
other,1166.0,2.0,3.0,65.0,2,1.0,583.0
other,2700.0,2.0,1.0,260.0,3,1.5,1350.0
Electronic City Phase II,1900.0,3.0,1.0,97.0,4,1.3333333333333333,633.3333333333334
Haralur Road,1520.0,2.0,2.0,96.0,3,1.5,760.0
other,2100.0,6.0,3.0,100.0,4,0.6666666666666666,350.0
Yelenahalli,1175.0,2.0,2.0,50.0,2,1.0,587.5
Bharathi Nagar,1432.0,2.0,2.0,68.0,2,1.0,716.0
Bommasandra Industrial Area,1005.0,2.0,1.0,39.77,2,1.0,502.5
Rajiv Nagar,1309.0,2.0,1.0,80.0,2,1.0,654.5
7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2,1.0,525.0
Kanakpura Road,1100.0,3.0,2.0,53.0,3,1.0,366.6666666666667
Begur Road,1565.0,2.0,2.0,56.34,3,1.5,782.5
other,940.0,2.0,1.0,56.0,2,1.0,470.0
other,1015.0,2.0,1.0,40.1,2,1.0,507.5
Electronic City,1652.0,3.0,3.0,110.0,3,1.0,550.6666666666666
Whitefield,1100.0,2.0,2.0,52.0,2,1.0,550.0
Rajiv Nagar,2340.0,4.0,1.0,145.0,4,1.0,585.0
other,1200.0,1.0,1.0,81.0,2,2.0,1200.0
other,1400.0,3.0,3.0,69.0,3,1.0,466.6666666666667
Electronic City Phase II,1020.0,2.0,1.0,27.43,2,1.0,510.0
Whitefield,1267.0,2.0,1.0,90.33,2,1.0,633.5
Bhoganhalli,2439.0,4.0,3.0,185.0,4,1.0,609.75
Sahakara Nagar,1100.0,2.0,2.0,75.0,3,1.5,550.0
Electronic City,1320.0,2.0,1.0,38.12,3,1.5,660.0
